CountryName,CountryCode,Indicator Name,Indicator Code,GDP1990,GDP1995,GDP2000,GDP2005,GDP2011,GDP2017,A1990,A1995,A2000,A2005,A2011,A2017
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.83378001,2.282661073,5.8580666,3.189804087,2.645717918,3.755196452,38.07173913,37.72776301,38.41777736,37.62776384,38.0496892,38.97876028
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,57.81782903,2.120021635,1.406474735,4.400617409,7.5464712,-2.494642939,63.71657184,63.26491987,62.45795718,62.8517892,66.36260979,61.63623571
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.169370347,0.116583693,4.891593277,6.330000053,1.88162028,4.545982903,8.430091258,8.171578825,7.954558321,7.84294641,8.098884846,6.481147263
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.315199368,10.6888486,7.455182186,3.911693291,4.783497509,3.536703171,24.81052732,24.31730739,24.50362411,22.98279394,23.90468673,21.38110224
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.985774943,2.886836759,3.786955143,0.817848974,0.707333347,1.667859041,21.31972951,20.27006829,19.77733481,19.60087766,19.99426671,16.75071194
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.200535115,2.349957041,0.878703548,0.893797936,1.730376267,1.003365318,15.95386452,15.91905265,15.89381632,16.00963133,16.54249891,13.40415053
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.275903906,6.200874365,4.245712252,8.146594741,2.737179832,2.087114619,35.34311707,34.60585976,33.51144474,32.4828384,33.01726148,33.00608118
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.892713066,2.742140322,2.779632825,1.662670405,-0.11542134,2.168290737,14.41635955,14.31252428,14.20962576,14.34866645,14.14103105,11.70477819
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-8.200000001,9.800000002,9.699999999,7.400000001,4.1,16.87025189,15.73268837,15.94476469,15.61864066,15.24383546,13.82428836
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.192050974,4.406216526,0.599695392,5.906666082,6.10826372,4.805696525,28.54755209,28.52077778,28.38549871,27.47729884,28.66288466,28.57837427
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.702796635,-5.423821885,5.443336616,-0.175515391,5.956274309,4.739937254,26.15659834,25.43575825,27.08021965,26.77744197,27.51760207,22.73776806
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.903468901,10.7119948,13.25008691,7.069569946,6.829082448,29.47759664,30.0668419,29.97403414,31.40893477,30.91962359,25.61429187
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.869565217,0,6.25,4.951631626,1.594561102,0.89150817,13.11509091,13.42802016,13.52196482,13.34558892,13.35815463,10.64085586
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.877251516,5.383142657,9.984051767,9.732820703,1.828435302,-1.977341942,,,,,,
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.877552502,9.614565393,9.060833325,4.308542714,3.685667782,3.15963574,29.33102172,29.52063135,29.76546929,30.40690403,29.68119454,25.03942539
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.858291252,4.694581871,10.60904498,9.628406975,-4.712106209,60.55584843,60.0572982,61.48199413,59.67398738,62.82540677,60.74515954
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.315697044,1.214088008,3.779032672,4.32036367,4.38699683,1.888527927,19.61587767,19.99839474,20.7973257,21.09492156,21.49006941,16.68087042
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.704578687,7.031254328,5.798782326,7.107568369,8.038652681,6.892530873,26.5362993,27.09515908,27.54506764,30.17021033,29.66966026,25.10953834
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,26.53316009,6.448862568,1.341871619,2.68577931,0.867339877,0.850699559,30.34220406,29.84509316,30.61420693,30.02476838,30.06910747,30.62111051
Liberia,LBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,5.281212071,8.20076584,2.468626095,17.12342903,17.17619463,17.25314331,16.02440579,16.14705151,17.98411246
Libya,LBY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,3.679213293,11.87072893,-62.07591958,26.68090263,45.06348692,46.71104239,46.25517373,47.12618829,44.63173396,54.25468179
St. Lucia,LCA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.890701529,1.748225865,0.048748554,-0.410304726,5.483411333,3.48884866,26.71198527,26.84988155,27.09613315,26.98484975,28.07865593,22.40081712
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.347417081,1.525975852,3.787857515,4.256329233,4.368479757,1.792411727,19.60867344,19.98360513,20.80459196,21.06966235,21.50910074,16.70842993
Least developed countries: UN classification,LDC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.549744006,6.091739429,4.053157125,8.035723429,3.87604489,4.585993668,45.97782255,46.23898103,46.05010353,46.21174232,46.40985867,45.27821984
Low income,LIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.412594957,4.842418616,2.761596551,6.926637043,2.238609157,3.71007448,41.79718676,42.14520024,41.70951478,40.15975978,40.89373426,42.85612091
Liechtenstein,LIE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.252870971,5.8755504,3.220193082,4.828076777,,,,,,,,
Sri Lanka,LKA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.399995307,5.500085232,6.00003316,6.241748045,8.404733021,3.578169679,29.76850353,30.18607255,30.8557618,30.95673529,31.23207466,11.09961724
Lower middle income,LMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.23769701,3.990443091,4.171185835,6.629956281,4.845035517,5.46827834,64.06160951,64.4844933,65.22684449,68.32116921,71.50261828,67.80484524
Low & middle income,LMY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.107416642,3.540898387,5.598483066,7.005710859,5.967523697,4.931635566,50.88078557,51.41869794,52.4142003,55.09210045,57.60330988,51.49785007
Lesotho,LSO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.04547333,3.290938546,3.875546814,3.466122481,5.355154953,-1.321685253,30.70374352,31.66103372,31.49014676,30.098923,31.3547412,28.02865352
Late-demographic dividend,LTE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.212707745,5.004055326,6.778709025,7.178255931,6.697350598,4.866406673,44.76671116,45.20970885,46.50040269,49.97571525,52.66276832,40.00840414
Lithuania,LTU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,3.695525421,7.732367604,6.03900816,4.282596951,16.39810163,15.00076058,14.4281323,14.46207088,14.50968278,11.85328236
Luxembourg,LUX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.319932787,1.432200588,8.23980206,3.172441709,2.539235768,1.801180955,13.69446214,12.94762576,12.56956635,12.35553519,12.68599568,10.3646374
Latvia,LVA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,5.671974915,10.7250863,6.46884995,3.25072029,19.02341913,17.31863105,16.71996638,16.85589453,16.5726763,13.42645752
"Macao SAR, China",MAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.979679857,3.296713233,5.747126437,8.059504542,21.67270765,9.887584069,,,,,,
St. Martin (French part),MAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.411812226,-5.405447867,1.912872981,3.291639684,5.245697297,4.248949208,30.25549178,30.42096496,30.96744832,30.96781344,29.26656426,32.59354146
Monaco,MCO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.643454173,2.117152311,3.910229226,1.895415281,7,-3.40000081,,,,,,
Moldova,MDA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,2.107716048,7.500000139,5.818166405,4.69079339,22.84505236,20.89016132,19.58110083,19.14452152,19.92486817,16.25103271
